Klasyfikator,Accuracy,Sensitivity,Specificity,Precision,F1,AUC-ROC
Logistic Regression,0.6418152350081038,0.45675675675675675,0.9190283400809717,0.8941798941798942,0.6046511627906976,0.8005908742750849
Decision Tree,0.4959481361426256,0.21351351351351353,0.9190283400809717,0.797979797979798,0.3368869936034115,0.5771473903052851
Random Forest,0.6482982171799028,0.4648648648648649,0.9230769230769231,0.900523560209424,0.6131907308377896,0.8589397089397091
Gradient Boosting,0.586709886547812,0.3621621621621622,0.9230769230769231,0.8758169934640523,0.5124282982791587,0.7794233504759821
XGBoost,0.6369529983792545,0.44324324324324327,0.9271255060728745,0.9010989010989011,0.5942028985507246,0.8276069591859067
SVM (RBF),0.6029173419773096,0.3945945945945946,0.9149797570850202,0.874251497005988,0.5437616387337058,0.8474231316336579
k-NN (k=5),0.6742301458670988,0.5216216216216216,0.902834008097166,0.8894009216589862,0.6575809199318569,0.7936918700076595
